"site_id","lat","lon","start_date","end_date","author","min_dist"
"1955-01",26.143,-81.799,"2013-06-05","2015-02-10","edifes.jpm184",1000
"254-01",44.044,-88.535,"2012-08-09","2013-08-23","edifes.jpm184",1000
"262-01",44.044,-88.535,"2012-08-07","2013-08-23","edifes.jpm184",1000
"328-01",46.554,-87.422,"2014-04-22","2015-10-16","edifes.jpm184",1000
"403-01",33.998,-81.035,"2014-08-09","2015-12-31","edifes.jpm184",1000
"4575-01",33.244,-85.845,"2014-06-06","2015-06-19","edifes.jpm184",1000
"4578-01",33.244,-85.845,"2014-06-06","2015-07-08","edifes.jpm184",1000
"4589-01",33.244,-85.845,"2014-06-06","2015-06-19","edifes.jpm184",1000
"4599-01",33.244,-85.845,"2014-06-05","2015-06-19","edifes.jpm184",1000
"4602-01",33.244,-85.845,"2013-12-17","2015-01-15","edifes.jpm184",1000
"4620-01",33.244,-85.845,"2014-06-04","2015-07-09","edifes.jpm184",1000
"4654-01",33.244,-85.845,"2014-06-04","2015-06-19","edifes.jpm184",1000
"4666-01",33.244,-85.845,"2014-06-06","2015-06-19","edifes.jpm184",1000
"4686-01",33.244,-85.845,"2014-06-04","2015-06-19","edifes.jpm184",1000
"4689-01",33.244,-85.845,"2014-06-06","2015-06-19","edifes.jpm184",1000
"4705-01",33.244,-85.845,"2013-11-21","2015-05-21","edifes.jpm184",1000
"4737-01",33.244,-85.845,"2013-11-21","2014-12-05","edifes.jpm184",1000
"4739-01",33.244,-85.845,"2013-11-21","2014-12-05","edifes.jpm184",1000
"4740-01",33.244,-85.845,"2013-12-17","2015-03-27","edifes.jpm184",1000
"4777-01",33.244,-85.845,"2014-06-04","2015-06-19","edifes.jpm184",1000
"4813-01",33.244,-85.845,"2014-01-23","2015-03-27","edifes.jpm184",1000
"4819-01",33.244,-85.845,"2014-02-21","2015-03-04","edifes.jpm184",1000
"4913-01",33.244,-85.845,"2014-06-04","2015-06-19","edifes.jpm184",1000
"4978-01",37.011,-86.461,"2013-02-14","2014-04-21","edifes.jpm184",1000
"4980-01",33.994,-81.02,"2013-02-14","2014-04-21","edifes.jpm184",1000
"4982-01",39.299,-94.936,"2013-05-03","2014-05-12","edifes.jpm184",1000
"4984-01",32.11,-93.786,"2013-04-09","2014-05-12","edifes.jpm184",1000
"4985-01",32.373,-84.906,"2013-04-12","2014-05-12","edifes.jpm184",1000
"4986-01",32.373,-84.906,"2013-04-09","2014-05-12","edifes.jpm184",1000
"4987-01",39.452,-77.442,"2013-04-09","2014-05-12","edifes.jpm184",1000
"4988-01",31.809,-106.431,"2013-04-09","2014-05-12","edifes.jpm184",1000
"4989-01",31.809,-106.431,"2013-05-03","2014-05-12","edifes.jpm184",1000
"4990-01",31.809,-106.431,"2013-02-14","2014-04-21","edifes.jpm184",1000
"4991-01",31.809,-106.431,"2013-04-12","2014-05-12","edifes.jpm184",1000
"4992-01",31.541,-110.3,"2013-04-09","2014-05-12","edifes.jpm184",1000
"4993-01",31.541,-110.3,"2013-04-09","2014-05-12","edifes.jpm184",1000
"4996-01",36.753,-119.697,"2013-02-14","2014-04-21","edifes.jpm184",1000
"case-olin",41.5043,-81.6084,"2014-01-01","2017-01-01","edifes.jpm184",1000
